#,שאלה,תשובה,מקור
290,האם מותר לכבות נר עבור חולה שישן?,אם הוא חולה מסוכן - כן,"סימן 328, סעיף 15"
291,האם מותר לכבות אש בשבת?,"לא, אלא אם כן סכנת נפשות","סימן 334, סעיף 1"
292,מה עושים אם פרצה דליקה בבית בשבת?,מותר להציל מזון ג' סעודות,"סימן 334, סעיף 1"
293,האם מותר לבקש מגוי לכבות אש בשבת?,"כן, במקום הפסד גדול","סימן 334, סעיף 26"
294,האם מותר לקצור בשבת?,לא,"סימן 336, סעיף 1"
295,האם מותר לעלות על אילן בשבת?,"לא, גזירה שמא יקטוף","סימן 336, סעיף 1"
296,האם מותר להריח פרי שעל האילן בשבת?,לא,"סימן 336, סעיף 10"
297,האם מותר למחוק כתב בשבת?,לא,"סימן 340, סעיף 3"
298,האם מותר לכתוב בשבת?,לא,"סימן 340, סעיף 4"
299,האם מותר לתפור בשבת?,לא,"סימן 340, סעיף 7"
300,האם מותר להדביק ניירות בדבק בשבת?,"לא, משום תופר","סימן 340, סעיף 14"
301,מהו גובה המחיצה המינימלי להגדרת רשות היחיד?,10 טפחים,"סימן 345, סעיף 2"
302,מהו השטח המינימלי הנדרש לרשות היחיד?,4 על 4 טפחים,"סימן 345, סעיף 2"
303,מהו שיעור רוחב רשות הרבים המינימלי?,16 אמה,"סימן 345, סעיף 7"
304,"מהו דין ""כרמלית"" לעניין טלטול?",אסור לטלטל בה יותר מ-4 אמות,"סימן 345, סעיף 14"
305,האם מותר להוציא חפץ מרשות היחיד לכרמלית?,לא,"סימן 345, סעיף 14"
306,האם מותר להוציא חפץ מכרמלית לרשות הרבים?,לא,"סימן 345, סעיף 14"
307,"מהו ""מקום פטור""?","מקום שאינו רשות היחיד, רבים או כרמלית","סימן 345, סעיף 19"
308,מהו דין חפץ המונח מעל 10 טפחים ברשות הרבים?,מקום פטור,"סימן 345, סעיף 19"
309,האם מותר להעביר חפץ מרשות היחיד לרשות הרבים?,לא,"סימן 346, סעיף 1"
310,האם מותר להושיט חפץ מרשות לרשות דרך רשות הרבים?,לא,"סימן 348, סעיף 1"
311,האם מותר לטלטל פחות פחות מ-4 אמות ברשות הרבים?,מותר,"סימן 348, סעיף 1"
312,האם מותר לעמוד ברשות היחיד ולשתות מרשות הרבים?,לא,"סימן 350, סעיף 1"
313,האם מותר לזרוק חפץ מרשות היחיד ליחיד דרך הרבים?,לא,"סימן 350, סעיף 1"
314,"מהו הדין של ""לבוד"" במחיצות שבת?",פחות מ-3 טפחים נחשב כסתום,"סימן 352, סעיף 1"
315,"מהם ""פסי ביראות""?",מחיצות סביב באר להתיר טלטול,"סימן 355, סעיף 1"
316,האם מותר לטלטל בגינה גדולה שלא הוקפה לדירה?,עד 4 אמות בלבד,"סימן 358, סעיף 1"
317,"מהי ""צורת הפתח""?",שני קנים מהצדדים וקנה על גביהם,"סימן 362, סעיף 11"
318,"האם מותר לטלטל במקום שיש בו ""צורת הפתח""?","מותר, אם נעשתה כהלכה","סימן 362, סעיף 11"
319,"מהו ""מבוי"" לעניין הלכות טלטול?",מעבר שפתוח לחצרות,"סימן 363, סעיף 1"
320,"מהו שיעור רוחב ה""לחי"" המינימלי במבוי?",כלשהו,"סימן 363, סעיף 1"
321,מהו גובה הקורה המקסימלי בפתח המבוי?,20 אמה,"סימן 363, סעיף 26"
322,האם מותר לטלטל במבוי המפולש ללא תיקון?,לא,"סימן 364, סעיף 1"
323,האם מותר לטלטל בחצר משותפת ללא עירובי חצרות?,לא,"סימן 366, סעיף 1"
324,האם מותר לאכול את פת העירוב לאחר השבת?,מותר,"סימן 366, סעיף 1"
325,מהו המאכל הנדרש לעירובי חצרות?,פת (לחם או מצה),"סימן 366, סעיף 2"
326,היכן מניחים את הפת של עירובי החצרות?,באחד מהבתים שבחצר,"סימן 366, סעיף 3"
327,האם מותר לערב עירובי חצרות בבית כנסת?,כן,"סימן 366, סעיף 3"
328,האם מותר לזכוות בעירוב עבור דייר ללא ידיעתו?,"כן, זכין לאדם שלא בפניו","סימן 366, סעיף 9"
329,האם חובה לזכות את העירוב על ידי אדם אחר?,כן,"סימן 366, סעיף 10"
330,מה מברכים על הנחת עירוב חצרות?,ברוך... על מצוות עירוב,"סימן 366, סעיף 15"
331,מה הדין אם פת העירוב נאכלה במהלך השבת?,העירוב תקף לכל אותה השבת,"סימן 367, סעיף 1"
332,האם מותר להשתמש במצה לצורך עירוב?,כן,"סימן 368, סעיף 4"
333,האם מותר לטלטל בתוך בית שלא עירבו בו?,מותר לכולם בתוך הבית,"סימן 370, סעיף 1"
334,האם אורח בבית מלון אוסר על אחרים בלא עירוב?,לא,"סימן 370, סעיף 5"
335,מה הדין אם אחד מהדיירים בחצר שכח לערב?,אוסר על כולם לטלטל בחצר,"סימן 371, סעיף 1"
336,האם מותר לטלטל מחצר לחצר אחרת אם עירבו יחד?,מותר,"סימן 372, סעיף 1"
337,האם מותר לטלטל כלים ששבתו בבית לחצר שעירבה?,מותר,"סימן 372, סעיף 1"
338,כיצד מתירים טלטול אם דייר שכח לערב?,על ידי ביטול רשות,"סימן 380, סעיף 1"
339,האם ניתן לבטל רשות בשבת עצמה?,כן,"סימן 380, סעיף 1"
340,האם גוי המתגורר בחצר אוסר על טלטול ליהודים?,כן,"סימן 382, סעיף 1"
341,כיצד שוכרים רשות מגוי לצורך העירוב?,אפילו בשווה פרוטה,"סימן 382, סעיף 1"
342,האם מותר לשכור רשות מהשמש של הגוי?,כן,"סימן 382, סעיף 12"
343,"מהו ""שיתופי מבואות""?",עירוב שמניחים להתיר טלטול במבוי,"סימן 386, סעיף 1"
344,כמה מזון צריך להניח עבור שיתופי מבואות?,שיעור שתי סעודות לכולם,"סימן 386, סעיף 1"
345,האם מותר לעשות שיתופי מבואות ביין?,כן,"סימן 386, סעיף 8"
346,האם ניתן להשתמש בשכר (בירה) לשיתופי מבואות?,כן,"סימן 386, סעיף 8"
347,"מהו המרחק המקסימלי של ""תחום שבת""?",2000 אמה מחוץ לעיר,"סימן 397, סעיף 1"
348,האם מותר לילך בשבת עד סוף עיבורה של עיר?,כן,"סימן 397, סעיף 1"
349,האם מותר לצאת ד' אמות מחוץ לתחום שבת?,לא,"סימן 399, סעיף 1"
350,מהו הדין למי שיצא מחוץ לתחום בשגגה?,אין לו אלא 4 אמות סביבו,"סימן 404, סעיף 1"
351,האם מותר לטלטל בתוך ספינה נעה בשבת?,מותר,"סימן 404, סעיף 1"
352,"מהו ""עירובי תחומין""?",הנחת מזון בסוף התחום להרחבתו,"סימן 408, סעיף 1"
353,האם מותר להניח עירוב תחומין בתוך הבית?,"לא, יש להניחו בסוף התחום","סימן 409, סעיף 1"
354,האם עירובי תחומין קונה שביתה למי שישן?,כן,"סימן 409, סעיף 1"
355,האם מותר להניח עירוב תחומין על אילן גבוה?,לא,"סימן 409, סעיף 1"
356,האם מותר להניח עירובי תחומין לצורך מצווה בלבד?,כן,"סימן 415, סעיף 1"
357,האם מותר להניח עירובי תחומין בזמן בין השמשות?,לא,"סימן 415, סעיף 2"
358,האם נשים עושות מלאכה בראש חודש?,נהגו שלא לעשות מלאכה,"סימן 417, סעיף 1"
359,האם מותר לכתוב בראש חודש?,מותר,"סימן 417, סעיף 1"
360,האם מותר לכבס בראש חודש?,"מותר, אך יש נמנעים","סימן 417, סעיף 1"
361,האם מותר להתענות בראש חודש?,לא,"סימן 418, סעיף 1"
362,האם יש מצווה להרבות בסעודה בראש חודש?,כן,"סימן 419, סעיף 1"
363,מה מוסיפים בתפילת עמידה בראש חודש?,יעלה ויבוא,"סימן 422, סעיף 1"
364,"שכח ""יעלה ויבוא"" בערבית של ראש חודש?",אינו חוזר,"סימן 422, סעיף 1"
365,"האם אומרים ""הלל"" בבית האבל בראש חודש?",לא,"סימן 422, סעיף 1"
366,האם מותר להסתפר בראש חודש?,"יש נמנעים (צוואת רי""ה)","סימן 422, סעיף 1"
367,האם מותר לחתוך ציפורניים בראש חודש?,יש נמנעים,"סימן 422, סעיף 1"
368,האם קוראים הלל שלם בראש חודש?,"לא, קוראים בדילוג (חצי הלל)","סימן 422, סעיף 2"
369,"שכח ""יעלה ויבוא"" בשחרית של ראש חודש?",חוזר לראש,"סימן 422, סעיף 2"
370,"שכח ""יעלה ויבוא"" במנחה של ראש חודש?",חוזר לראש,"סימן 422, סעיף 2"
371,כמה עולים לתורה בראש חודש?,4 עולים,"סימן 423, סעיף 1"
372,"האם אומרים ""למנצח"" ו""תחנון"" בראש חודש?",לא,"סימן 423, סעיף 1"
373,"האם אומרים ""וידוי"" בראש חודש?",לא,"סימן 423, סעיף 1"
374,"האם אומרים ""אל ארך אפיים"" בראש חודש?",לא,"סימן 423, סעיף 1"
375,"האם אומרים ""צדקתך צדק"" במנחה של ר""ח בשבת?",לא,"סימן 423, סעיף 1"
376,"מה הדין אם שכח ""יעלה ויבוא"" בברכת המזון?",אינו חוזר,"סימן 424, סעיף 1"
377,האם מותר לילך בראש חודש לקברי צדיקים?,נהגו להקל,"סימן 424, סעיף 1"
378,מהו סדר הקריאה בתורה בראש חודש שחל בשבת?,שני ספרי תורה,"סימן 425, סעיף 1"
379,מהי ההפטרה בראש חודש שחל בשבת?,"""השמים כיסאי""","סימן 425, סעיף 1"
380,מהי ההפטרה בערב ראש חודש שחל בשבת?,"""מחר חודש""","סימן 425, סעיף 2"
381,האם חובה לעמוד בשעת ברכת הלבנה?,כן,"סימן 426, סעיף 1"
382,האם סומא (עיוור) מברך ברכת הלבנה?,לא,"סימן 426, סעיף 1"
383,האם נשים מברכות ברכת הלבנה?,נהגו שלא לברך,"סימן 426, סעיף 1"
384,האם מותר לברך את הלבנה כשהוא בתוך הבית?,"לא, יש לצאת לחוץ","סימן 426, סעיף 1"
385,האם הלבנה צריכה להיות גלויה לברכתה?,כן,"סימן 426, סעיף 1"
386,האם מותר לברך כשהלבנה לוקה?,לא,"סימן 426, סעיף 1"
387,האם מותר לברך במקום שיש בו ריח רע?,לא,"סימן 426, סעיף 1"
388,האם מותר לברך כשהלבנה נראית בתוך המים?,לא,"סימן 426, סעיף 1"
389,האם מותר לברך ברכת הלבנה ביום?,לא,"סימן 426, סעיף 1"
390,מה אומרים זה לזה בסיום ברכת הלבנה?,שלום עליכם,"סימן 426, סעיף 2"
391,מתי הזמן המובחר ביותר לברכת הלבנה?,מוצאי שבת,"סימן 426, סעיף 2"
392,האם מותר לברך ברכת הלבנה בליל שבת?,רק אם הוא הלילה האחרון,"סימן 426, סעיף 2"
393,האם מותר לברך ברכת הלבנה במוצאי יום כיפור?,כן,"סימן 426, סעיף 2"
394,האם מותר לברך במוצאי תשעה באב?,"כן, לאחר אכילה ונעילת נעליים","סימן 426, סעיף 2"
395,האם מותר לברך לפני תפילת ערבית?,"לא, תדיר קודם","סימן 426, סעיף 2"
396,"האם אומרים ""קדיש"" לאחר ברכת הלבנה?",נהגו לומר,"סימן 426, סעיף 2"
397,מהו המועד האחרון לברכת הלבנה בכל חודש?,עד חצי החודש,"סימן 426, סעיף 3"
398,האם מותר לברך לפני שעברו 3 ימים מהמולד?,לא,"סימן 426, סעיף 4"
399,האם מותר לברך את הלבנה בראייה דרך זכוכית?,לכתחילה לא,"סימן 426, סעיף 1"
400,"האם אומרים ""תתחדש"" בברכת הלבנה?",לא נהגו בזה,"סימן 426, סעיף 1"
401,מתי מתחילים לדרוש ולשאול בהלכות הפסח?,30 יום קודם החג,"סימן 429, סעיף 1"
402,"מהו המנהג לגבי אמירת ""מזמור לתודה"" בערב פסח?",אין אומרים אותו,"סימן 429, סעיף 2"
403,"מתי חל זמן ""בדיקת חמץ"" לכתחילה?","אור לי""ד בניסן בתחילת הלילה","סימן 431, סעיף 1"
404,האם מותר להתחיל בסעודה חצי שעה לפני בדיקת חמץ?,לא,"סימן 431, סעיף 2"
405,מה מברכים לפני בדיקת חמץ?,"""על ביעור חמץ""","סימן 432, סעיף 1"
406,האם מותר להפסיק בדיבור בין הברכה לתחילת הבדיקה?,לא,"סימן 432, סעיף 1"
407,על איזה אור יש לבדוק את החמץ?,אור הנר,"סימן 433, סעיף 1"
408,האם צריך לבדוק במקום שאין רגילים להכניס בו חמץ?,לא,"סימן 433, סעיף 3"
409,האם יש צורך לבדוק חורי הבית והסדקים?,כן,"סימן 433, סעיף 3"
410,"מהו נוסח ה""ביטול"" שאומרים לאחר הבדיקה בלילה?","""כל חמירא דאיכא ברשותי...""","סימן 434, סעיף 2"
411,"מי שיוצא מהבית קודם י""ד בניסן, מתי יבדוק?",בלילה שלפני יציאתו (בלי ברכה),"סימן 436, סעיף 1"
412,מהו דין חמץ שהניחו במקום גבוה ואינו יכול להגיע אליו?,חייב לבער או לבטל,"סימן 438, סעיף 1"
413,האם חמץ שאינו ראוי למאכל כלב נחשב חמץ?,לא,"סימן 442, סעיף 2"
414,עד מתי מותר לאכול חמץ בערב פסח?,עד סוף שעה רביעית,"סימן 443, סעיף 1"
415,עד מתי מותר ליהנות מחמץ בערב פסח?,עד סוף שעה חמישית,"סימן 443, סעיף 1"
416,כיצד יש לבער את החמץ בערב פסח?,המנהג בשריפה,"סימן 445, סעיף 1"
417,מתי אומרים את נוסח הביטול השני (הביטול הכולל)?,בשעת שריפת החמץ,"סימן 445, סעיף 2"
418,"מהו דין ""תערובת חמץ"" בפסח?","אוסרת ב""כל שהוא""","סימן 447, סעיף 1"
419,האם חמץ שנתערב לפני פסח בבטלות (60) מותר?,מותר באכילה בפסח,"סימן 447, סעיף 2"
420,"מהו דין ""חמץ שעבר עליו הפסח""?",אסור בהנאה (קנס דרבנן),"סימן 448, סעיף 3"
421,האם מותר למכור חמץ לגוי לפני הפסח?,מותר,"סימן 448, סעיף 3"
422,מהו דין כלי חרס שבלעו חמץ?,אין להם הכשר בהגעלה,"סימן 451, סעיף 1"
423,כיצד מכשירים כלי מתכת שבלעו חמץ ברותחים?,על ידי הגעלה,"סימן 451, סעיף 1"
424,כיצד מכשירים שיפודים שבלעו חמץ ישירות באש?,על ידי ליבון,"סימן 451, סעיף 4"
425,האם כלי זכוכית צריכים הכשר לפסח לאשכנזים?,אין להם הכשר,"סימן 451, סעיף 26"
426,מהו התנאי להכשרת כלי בהגעלה?,שיהיה נקי ושלא השתמשו בו 24 שעות,"סימן 452, סעיף 1"
427,"מהו המנהג לגבי אכילת ""קטניות"" לאשכנזים?",נהגו לא לאכול,"סימן 453, סעיף 1"
428,"מהם ""מים שלנו""?",מים שעמדו בלילה לצורך לישת מצות,"סימן 455, סעיף 1"
429,"מתי שואבים את ה""מים שלנו""?",סמוך לשקיעת החמה,"סימן 455, סעיף 1"
430,מהו משך הזמן המקסימלי ללישה ללא חימוץ?,18 דקות,"סימן 459, סעיף 2"
431,"האם מותר לאכול ""מצה עשירה"" לאשכנזים?",רק לחולה או זקן,"סימן 462, סעיף 4"
432,האם מותר לאכול מצה בערב פסח?,אסור מהבוקר,"סימן 471, סעיף 2"
433,האם חובה להסב (הסיבה) בשתיית ארבע הכוסות?,כן,"סימן 472, סעיף 2"
434,מהו שיעור היין המינימלי שיש לשתות בכל כוס?,רוב רביעית,"סימן 472, סעיף 9"
435,"האם נשים חייבות בשתיית ""ארבע כוסות""?",כן,"סימן 472, סעיף 14"
436,מהו סדר הקערה לפי המנהג המקובל?,"שלוש מצות והסימנים (זרוע, ביצה וכו')","סימן 473, סעיף 4"
437,"מהו הירק המקובל ל""כרפס""?",כל ירק שאינו מרור,"סימן 473, סעיף 6"
438,"האם מברכים ""על אכילת מצה"" על המצה הראשונה?",כן,"סימן 475, סעיף 1"
439,"מהו שיעור ""כזית"" למצה (בקירוב)?",כחצי מצה עגולה,"סימן 475, סעיף 1"
440,"מהו ""כורך""?",אכילת מצה ומרור יחד,"סימן 475, סעיף 1"
441,"מהו ה""אפיקומן""?",מצה שאוכלים בסיום הסעודה,"סימן 477, סעיף 1"
442,האם מותר לאכול לאחר אכילת האפיקומן?,לא,"סימן 478, סעיף 1"
443,מה מוסיפים בברכת המזון ביום טוב של פסח?,יעלה ויבוא,"סימן 487, סעיף 1"
444,מתי זמן ספירת העומר לכתחילה?,"בלילה, מצאת הכוכבים","סימן 489, סעיף 1"
445,מה מברכים על ספירת העומר?,"""על ספירת העומר""","סימן 489, סעיף 1"
446,"מי ששכח לספור בלילה, מה יעשה?",יספור ביום בלא ברכה,"סימן 489, סעיף 7"
447,"מי ששכח לספור יום שלם, האם יברך בימים הבאים?",ימשיך לספור בלא ברכה,"סימן 489, סעיף 8"
448,"מתי מפסיקים לומר ""משיב הרוח ומוריד הגשם""?",בתפילת מוסף של יום טוב ראשון,"סימן 490, סעיף 1"
449,האם אומרים הלל שלם בכל ימי הפסח?,"לא, רק ביום הראשון","סימן 490, סעיף 4"
450,אילו מנהגי אבילות נוהגים בימי ספירת העומר?,אין נושאים נשים ואין מסתפרים,"סימן 493, סעיף 1"
451,"מהו יום ל""ג בעומר?","יום ל""ג לספירה (י""ח באייר)","סימן 493, סעיף 2"
452,האם מותר לעשות מלאכה ביום טוב?,"מותרת רק מלאכת ""אוכל נפש""","סימן 495, סעיף 1"
453,האם מותר לצוד בעלי חיים ביום טוב?,לא,"סימן 497, סעיף 1"
454,האם מותר לשחוט בהמה ביום טוב?,מותר,"סימן 498, סעיף 1"
455,האם מותר למלוח בשר ביום טוב?,מותר,"סימן 500, סעיף 1"
456,האם מותר להדליק אש חדשה ביום טוב?,"לא, מותר רק להעביר מאש קיימת","סימן 502, סעיף 1"
457,האם מותר להכין מיום טוב אחד לחברו?,לא,"סימן 503, סעיף 1"
458,האם מותר לטחון תבלינים ביום טוב?,מותר בשינוי,"סימן 504, סעיף 1"
459,האם מותר לסחוט פירות ביום טוב?,לא,"סימן 505, סעיף 1"
460,האם מותר ללוש ביום טוב?,מותר,"סימן 506, סעיף 1"
461,האם מותר להפריש חלה ביום טוב?,רק אם נילושה ביום טוב,"סימן 506, סעיף 3"
462,"מהו הדין של ""מכשירי אוכל נפש"" שניתן לעשותם קודם החג?",אסור לעשותם בחג,"סימן 509, סעיף 1"
463,האם מותר לברור אוכל מתוך פסולת ביום טוב?,מותר,"סימן 510, סעיף 2"
464,האם מותר לרחוץ את כל הגוף במים חמים ביום טוב?,"לא, רק פניו ידיו ורגליו","סימן 511, סעיף 1"
465,האם מותר להדיח כלים ביום טוב?,מותר לצורך היום,"סימן 511, סעיף 1"
466,האם מותר לתת אוכל לפני בהמה ביום טוב?,מותר,"סימן 512, סעיף 1"
467,"מהו דין ""נולד"" ביום טוב?",אסור,"סימן 513, סעיף 1"
468,האם מותר לכבות אש ביום טוב?,לא,"סימן 514, סעיף 1"
469,האם מותר להעביר אש לצורך הנאה ביום טוב?,מותר,"סימן 514, סעיף 1"
470,האם מותר לטאטא את הבית ביום טוב?,מותר,"סימן 514, סעיף 11"
471,האם מותר להוציא חפץ מרשות לרשות ביום טוב?,מותר,"סימן 518, סעיף 1"
472,"מהו ""עירוב תבשילין""?",הנחת פת ותבשיל בערב חג להתרת בישול לשבת,"סימן 527, סעיף 1"
473,מה מברכים על עירוב תבשילין?,"""...על מצוות עירוב""","סימן 527, סעיף 12"
474,מה הדין אם נאכל העירוב לפני שבישל לשבת?,אינו יכול לבשל עוד,"סימן 527, סעיף 15"
475,האם מותר לעשות מלאכה בחול המועד?,"רק לצורך המועד או ""דבר האבד""","סימן 530, סעיף 1"
476,האם מותר לנעול נעליים חדשות במועד?,מותר,"סימן 530, סעיף 1"
477,האם מותר להסתפר בחול המועד?,לא,"סימן 531, סעיף 1"
478,האם מותר לצאת לטיול בחול המועד?,מותר,"סימן 531, סעיף 1"
479,האם מותר לגלח זקן בחול המועד?,לא,"סימן 531, סעיף 2"
480,"מי שיוצא מבית האסורים במועד, האם רשאי להסתפר?",רשאי,"סימן 531, סעיף 4"
481,האם מותר לקצוץ ציפורניים בחול המועד?,לרוב הפוסקים אסור,"סימן 532, סעיף 1"
482,האם מותר להקיז דם בחול המועד?,מותר,"סימן 532, סעיף 2"
483,האם מותר לצוד דגים לצורך המועד?,מותר,"סימן 533, סעיף 1"
484,האם מותר לכבס בגדים בחול המועד?,לא,"סימן 534, סעיף 1"
485,האם מותר לנקות בגדים מכתמים במועד?,מותר,"סימן 534, סעיף 1"
486,האם מותר לפנות חפצים מדירה לדירה במועד?,לא,"סימן 535, סעיף 1"
487,"מהו ""דבר האבד"" המתיר מלאכה בחול המועד?",מלאכה שאם לא תיעשה ייגרם הפסד ממון,"סימן 537, סעיף 1"
488,האם מותר לקנות צרכי אוכל נפש במועד?,מותר,"סימן 539, סעיף 1"
489,האם מותר לסחור בסחורה שאינה לצורך המועד?,לא,"סימן 539, סעיף 1"
490,האם מותר ללוות כסף בחול המועד?,מותר,"סימן 539, סעיף 1"
491,האם מותר להוליך פירות למקום אחר למכרם במועד?,לא,"סימן 539, סעיף 1"
492,האם מותר לבנות תנור לצורך המועד?,מותר מעשה הדיוט,"סימן 540, סעיף 1"
493,האם מותר לתקן כלי שבור לצורך המועד?,מותר מעשה הדיוט,"סימן 540, סעיף 1"
494,האם מותר לתפור במועד מעשה אומן?,לא,"סימן 541, סעיף 1"
495,האם מותר לתפור במועד מעשה הדיוט לצורך המועד?,מותר,"סימן 541, סעיף 1"
496,האם מותר לתקן נעל שנקרעה בחול המועד?,מותר מעשה הדיוט,"סימן 541, סעיף 5"
497,האם מותר לקצוץ עצים לצורך המועד?,מותר,"סימן 542, סעיף 1"
498,האם מותר לבנות בניין במועד?,לא,"סימן 544, סעיף 1"
499,האם מותר לכתוב בחול המועד?,רק לצורך המועד או בשינוי,"סימן 545, סעיף 1"
500,האם מותר לכתוב דברי תורה במועד כדי שלא ישכח?,מותר,"סימן 545, סעיף 9"
501,אילו ארבעה צומות קבועים בלוח השנה לזכר החורבן?,"י""ז בתמוז, ט' באב, צום גדליה, עשרה בטבת","סימן 549, סעיף 1"
502,מהו המועד שבו חל צום גדליה?,ג' בתשרי,"סימן 549, סעיף 1"
503,"מה קרה בי""ז בתמוז שגרם לקביעת הצום?",נשתברו הלוחות ובוטלו הקרבנות,"סימן 549, סעיף 2"
504,מה קרה בעשרה בטבת שגרם לקביעת הצום?,מלך בבל סמך על ירושלים,"סימן 549, סעיף 2"
505,האם מותר לאכול בשר ויין בשבת שחל בה תשעה באב?,מותר,"סימן 550, סעיף 3"
506,מה הדין אם חל תשעה באב בשבת?,דוחים את הצום ליום ראשון,"סימן 550, סעיף 3"
507,אילו איסורים חלים מראש חודש אב ועד התענית?,ממעטים בשמחה ובבניין של שמחה,"סימן 551, סעיף 2"
508,"האם מותר ללבוש בגדים מכובסים בשבוע שחל בו ת""ב?",אסור,"סימן 551, סעיף 3"
509,האם מותר לתפור בגדים חדשים מראש חודש אב?,אסור,"סימן 551, סעיף 7"
510,מאיזה מועד נמנעים מאכילת בשר ושתיית יין באב?,מראש חודש אב,"סימן 551, סעיף 9"
511,האם מותר לאכול בשר בסעודת מצווה בימי בין המצרים?,מותר,"סימן 551, סעיף 10"
512,"האם מותר ליטול ציפורניים בשבוע שחל בו ת""ב?",יש אוסרים ויש מתירים,"סימן 551, סעיף 11"
513,האם מותר להסתפר בשבוע שחל בו תשעה באב?,אסור,"סימן 551, סעיף 12"
514,האם מותר להתרחץ בערב שבת חזון?,רק פניו ידיו ורגליו במים צוננים,"סימן 551, סעיף 16"
515,"האם מותר לברך ""שהחיינו"" בשלושת השבועות?",נהגו שלא לברך,"סימן 551, סעיף 17"
516,"מהי ""סעודה מפסקת"" של תשעה באב?",סעודה שאוכלים בה תבשיל אחד בלבד,"סימן 552, סעיף 1"
517,"מהו המנהג לאכול בסעודה המפסקת של ת""ב?",ביצה קשה באפר,"סימן 552, סעיף 7"
518,"מהו הדין של ""שבת חזון""?",השבת שלפני תשעה באב,"סימן 552, סעיף 10"
519,מתי חולצים נעליים בתשעה באב שחל במוצאי שבת?,"לאחר אמירת ""המבדיל""","סימן 553, סעיף 2"
520,האם נועלים נעלי עור בתשעה באב?,אסור,"סימן 554, סעיף 1"
521,האם מותר ללמוד תורה בתשעה באב?,רק בדברים המצערים,"סימן 554, סעיף 1"
522,האם מותר להתרחץ בתשעה באב?,"אסור, חוץ מנטילת ידיים עד הפרקים","סימן 554, סעיף 7"
523,מתי מסתיים צום תשעה באב?,בצאת הכוכבים,"סימן 554, סעיף 19"
524,האם מותר לשאול בשלום חברו בתשעה באב?,לא,"סימן 554, סעיף 20"
525,האם מותר לעשות מלאכה בתשעה באב?,נהגו שלא לעשות עד חצות היום,"סימן 554, סעיף 22"
526,מתי מניחים תפילין בתשעה באב?,במנחה,"סימן 555, סעיף 1"
527,האם מותר לישון על מיטה כרגיל בתשעה באב?,נהגו להפחית בהנאה,"סימן 555, סעיף 2"
528,האם מותר לעשן בתשעה באב?,"יש אוסרים, ויש מקלים בצנעה אחר חצות","סימן 555, סעיף 3"
529,מתי מותר לאכול בשר לאחר תשעה באב?,מחצות יום עשרה באב,"סימן 558, סעיף 1"
530,מה קוראים בתורה ובמגילה בתשעה באב?,מגילת איכה,"סימן 559, סעיף 1"
531,"מהם דיני ""תענית יחיד""?",מי שקיבל על עצמו לצום מסיבה אישית,"סימן 562, סעיף 1"
532,"האם אומרים ""עננו"" בתפילה ביום צום?","היחיד אומר ב""שומע תפילה""","סימן 565, סעיף 1"
533,"מהו הדין של ""טעה באכילה"" ביום תענית?",משלים את תעניתו,"סימן 568, סעיף 1"
534,"מהו הדין של ""תענית חלום""?",מותר להתענות אפילו בשבת,"סימן 568, סעיף 5"
535,"מהו ""צום כללי"" שגוזרים על הציבור?",כגון תעניות על עצירת גשמים,"סימן 575, סעיף 1"
536,"מהו ""חמישה עשר באב""?",יום טוב שבו פסקו מלמות במדבר,"סימן 580, סעיף 1"
537,"מתי זמן ה""סליחות"" המובחר ביותר?",באשמורת הבוקר,"סימן 581, סעיף 1"
538,מתי מתחילים אשכנזים לומר סליחות?,במוצאי שבת שלפני ראש השנה,"סימן 581, סעיף 1"
539,מתי מתחילים ספרדים לומר סליחות?,מראש חודש אלול,"סימן 581, סעיף 1"
540,האם תוקעים בשופר בחודש אלול?,נהגו לתקוע בכל בוקר לאחר שחרית,"סימן 581, סעיף 1"
541,"מהו המנהג לגבי ""התרת נדרים""?",נהגו לעשות בערב ראש השנה,"סימן 581, סעיף 2"
542,האם מותר להתענות בערב ראש השנה?,נהגו להתענות,"סימן 581, סעיף 2"
543,מתי מפסיקים לתקוע בשופר לפני ראש השנה?,בערב ראש השנה,"סימן 581, סעיף 3"
544,מה מוסיפים בתפילת עמידה בעשרת ימי תשובה?,"""המלך הקדוש"" ו""המלך המשפט""","סימן 582, סעיף 1"
545,"מה הדין אם אמר ""האל הקדוש"" בעשרת ימי תשובה?",חוזר לראש התפילה,"סימן 582, סעיף 2"
546,"מה הדין אם אמר ""מלך אוהב צדקה ומשפט""?","אם אמר ""המלך המשפט"" יצא","סימן 582, סעיף 3"
547,מה מברכים על תקיעת שופר?,"""לשמוע קול שופר"" ו""שהחיינו""","סימן 585, סעיף 2"
548,האם מותר לאכול לפני תקיעת שופר?,לא,"סימן 585, סעיף 4"
549,האם מותר לתקוע בשופר בשבת?,לא,"סימן 588, סעיף 5"
550,"נשים פטורות משופר, אך האם הן רשאיות לברך?","לאשכנזים כן, לספרדים לא","סימן 589, סעיף 6"
551,כמה תקיעות חייב אדם לשמוע מן התורה?,תשע תקיעות,"סימן 590, סעיף 1"
552,מהם הקולות המרכיבים את סדר התקיעות?,"תקיעה, שברים, תרועה","סימן 590, סעיף 2"
553,"מהו מנהג ה""תשליך"" בראש השנה?",תפילה ליד מקור מים,"סימן 591, סעיף 6"
554,האם מותר לאכול בערב יום כיפור?,מצווה להרבות באכילה ושתייה,"סימן 604, סעיף 1"
